trpt1,trpt2,trpt3,trpt4,trpt5,trpt6,trpt7,trpt8,trpt9,trpt10,trpt11,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8,pop9,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,trv1,trv2,trv3,trv4,trv5,trv6,trv7,trv8,trv9,trv10,trv11,esp1,esp2,esp3,esp4,esp5,esp6,esp7,esp8,log1,log2,log3,log4,log5,log6,log7,log8,log9,log10,log11,log12,log13,log14,log15,log16,log17,log18,fin1,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,egmt1,egmt2,egmt3,egmt4,BFS
43622,34366,3017,617,167,638,4325,455.2934,35279.91783,14171.46437,13368.27938,75481,19.16734383,38640,36841,36590,28463,13584,25112,23566,8980,4239,27.90583,27.156,55.06183,47.2049,23065,8.637935,2.927889,77.1055,80.44409,-3.33859,2.01,30.55736,13023,6442,1823,1235,454,4.417644,1357.833,590.8333,7123,5800,1045,244,34,198,11508,69868,3.243644,3938,859,154,203,389,1119,1139,53,179,1.779046,44.4,2,0.56,0.5,9871,3087,4377,1451,956,43113,114,2205,2696,2329,1658,869,1237451.949,687600.067,30198.2997,210828.0287,570086.8156,75009.02221,48317.32803,574496.1251,259334.0472,17967,7204,1326,3558,3203
4609,3659,395,82,28,131,275,719.7089,2726.051614,438.1599407,976.7999597,5084,1.772046009,2558,2526,2108,2285,772,1260,1988,795,269,23.76847,32.75862,56.52709,33.83648,2110,8.064516,-0.98348,109.166,97.75767,11.40834,1.88,41.50275,1973,73,22,12,26,0.552595,76.41667,38.33333,851,710,120,18,3,19,996,6130,2.191647,2869,151,33,15,59,573,754,91,77,3.876513,38.52,2,0.63,0.9,921,257,421,116,127,5701,44,219,252,177,128,101,246946.7543,74920.74171,12075.88566,31668.14136,100268.7427,42829.67431,11323.24638,70980.90005,44596.484,409,409,74,201,3787
6405,4896,410,45,77,59,792,587.5435,4210.527657,871.617502,2331.558864,8333,7.520758123,4162,4171,3855,3543,1629,2204,2964,1120,416,31.5209,29.72136,61.24226,37.14286,1183,7.320293,2.160086,77.88312,73.56294,4.320173,2.31,14.19657,638,180,238,93,27,1.220249,57.5,30.16667,1055,886,148,19,2,86,3169,6255,1.218045,1108,116,13,51,52,407,444,4,19,0.789809,47.3,2.3,0.6,0.2,1133,359,499,184,91,3925,11,224,461,279,122,36,68371.38036,22917.02551,15415.8887,1888.48546,33283.17113,3231.15083,1358.49814,38759.13782,22827.2829,2100,1035,132,449,1509
10765,8089,421,31,160,61,1748,512.5135,7964.068514,2356.764522,3981.983323,15783,11.8490991,8231,7552,6675,6906,2914,3964,5461,2427,1017,30.91777,36.54111,67.45889,41.90358,1701,9.630615,-0.25344,72.41969,66.40056,6.019135,2.15,10.77742,1089,341,160,68,39,3.135955,212.25,107.6667,833,717,99,15,2,165,1811,4279,2.248592,1332,231,15,41,79,391,564,16,31,0.213836,45.59,2.2,0.58,0.1,3250,1795,1070,285,100,7950,264,1361,1260,306,49,10,86935.79654,46124.98083,10215.4343,18683.04633,56881.64433,2717.0348,1320.37724,61911.61466,37911.19995,1681,1666,335,869,939
6584,5328,308,60,55,42,728,547.3035,4549.663006,1279.754041,2429.152242,9735,19.31547619,4878,4857,4109,4547,1993,2495,3625,1250,372,32.56536,26.50327,59.06863,29.76,2325,4.930663,6.574217,88.23832,78.8906,9.347714,2.35,23.8829,1523,551,123,42,80,1.812847,134,66.41667,996,821,151,22,2,46,1938,6477,2.53448,504,95,12,36,47,78,232,4,96,0.210035,46.01,2.4,0.6,0.2,1009,424,487,51,47,4285,17,258,366,180,106,82,128041.4098,93043.00776,33550.05355,2678.84794,52104.36263,9680.28928,1166.25335,46470.1253,28779.3833,986,986,204,573,1708
9184,7439,355,10,75,45,1176,520.5374,5978.471717,2423.104948,2693.664414,14291,16.63678696,7341,6950,5760,6481,2748,2947,5389,2346,861,32.96545,38.47169,71.43714,36.70077,2716,7.977048,-0.41984,69.41432,60.87748,8.536841,2.18,19.00497,1976,274,233,101,91,2.214699,203.5833,94.16667,1043,952,76,13,2,90,2449,3427,2.603151,859,221,21,26,66,157,361,2,43,2.43553,49.74,2.2,0.56,0.1,2701,1479,872,247,103,6980,147,809,1234,445,48,18,165299.2645,89142.2645,1517.27019,5556.71462,96806.63542,8887.8382,2393.62814,105062.7243,64725.30495,1450,1450,271,864,158
6154,4813,381,316,38,58,490,481.7818,4482.367579,1325.591201,2195.758355,9990,9.406779661,5110,4880,4409,4382,2229,2717,3445,1179,420,36.17332,25.94937,62.12269,35.62341,3228,7.607608,3.303303,94.39439,92.39239,2.002002,2.32,32.31231,1381,1159,398,246,44,4.281099,203.5833,94.08333,461,383,60,14,4,38,1015,4188,3.869127,1062,133,16,40,93,473,295,7,63,0.793301,44.43,2.3,0.61,0.6,1779,1236,445,60,38,4538,86,957,537,104,71,24,33002.48137,6754.25701,1584.69233,124.93127,6672.83675,779.19695,90.90371,6575.03534,5140.372,1254,1254,220,593,4012
9313,6878,877,164,41,190,1006,714.8945,4810.550171,1145.54981,2379.306615,9621,16.5025729,4936,4685,4632,3928,1806,3107,3030,1190,488,29.42806,27.34235,56.77041,41.0084,1588,8.626962,3.741815,89.59568,78.78599,10.80969,2.2,16.50556,849,519,141,46,32,2.391992,104.6667,41.25,1060,772,231,54,3,41,2569,10659,1.947498,583,116,22,72,93,127,148,2,99,0.929643,45.88,2.2,0.59,0.3,1326,494,558,144,130,4733,46,459,429,263,79,50,139043.8129,44296.46285,16502.97036,15547.77524,68960.64677,10896.74447,2813.33611,69989.17025,34367.52414,6322,1491,119,490,1103
10441,8528,374,44,20,33,1324,479.3974,8128.492117,4276.978895,3120.55627,17789,32.34363636,9108,8681,7815,7660,3543,4439,6491,2382,934,32.41537,30.33852,62.75389,39.21075,5007,7.645174,4.553376,73.47237,76.62038,-3.14801,2.15,28.14661,3668,513,334,88,349,2.53564,338.8333,141.6667,1281,1146,122,12,1,8,934,5479,3.418408,550,205,23,22,81,125,83,8,57,0.355358,45.37,2.2,0.6,0.1,2397,1026,1033,267,71,9005,52,573,1020,518,170,64,125628.8016,87941.80158,7351.77809,13227.13305,128311.8039,13336.30335,3592.25125,112948.531,70579.2065,1574,1574,384,913,141
26991,20400,1631,194,155,345,3587,468.2336,20407.46081,6746.39394,9158.463295,43568,20.19842374,22855,20713,18208,18438,7441,11203,14779,7226,2919,28.63906,39.04626,67.68532,40.39579,5812,10.67297,-0.82629,61.94914,59.58502,2.36412,2.05,13.34007,3260,1464,668,248,156,4.698851,699.6667,310.4167,3243,2684,464,89,6,136,5912,22155,2.91534,2157,579,95,140,262,434,604,24,91,0.191873,42.95,2.1,0.59,0,7540,3474,2942,692,432,23453,288,3182,2861,825,240,144,346370.061,268466.959,36344.853,70058.638,237780.521,15209.962,12015.394,235705.496,116242.324,9030,3833,709,2033,942
8884,6487,430,5,9,18,1890,466.4893,4730.739946,2113.32427,2137.258822,13906,36.40314136,7253,6653,6025,5781,2961,3465,4885,1813,782,35.46108,31.07784,66.53892,43.13293,4667,5.824824,3.164102,101.1793,115.274,-14.0946,2.48,33.56105,3228,380,290,425,337,6.205661,346.4167,146.6667,668,588,69,7,4,8,1328,4433,5.457296,382,205,14,12,45,17,87,4,17,0.32,35.88,2.5,0.75,0.9,1734,1330,259,114,31,6250,224,779,478,54,85,114,143715.1141,55863.06297,22294.35296,17814.43744,37851.91262,7153.07392,9568.46773,37029.13866,31196.04609,1649,1649,290,709,6640
