BFS,CityLaMobiliere,Ycoord,Xcoord
3203,St. Gallen,256.1301481,744.9202541
3787,St. Moritz,152.6512664,783.5454576
1509,Stans,201.3936094,669.3656813
939,Steffisburg,182.1083897,613.8479579
1708,Steinhausen,228.1960311,678.9056635
158,Stäfa,234.0232706,696.9984358
4012,Suhr,246.7649407,647.6885674
1103,Sursee,224.5422621,649.3835706
141,Thalwil,240.5079226,684.7922136
942,Thun,179.8850369,613.8530732
6640,Thônex,116.161797,503.602425
250,Urdorf,249.2599331,674.0955801
198,Uster,246.2391429,696.043405
3408,Uzwil,255.7307162,727.5753667
6643,Vernier,118.692,497.82
6644,Versoix,127.3141879,501.4679707
5890,Vevey,146.7073244,552.4839052
6645,Veyrier,115.0876443,501.2684366
2228,Villars-sur-Glâne,183.2570991,574.9119904
6297,Visp,126.6049214,634.0120987
199,Volketswil,248.4503055,695.2523052
69,Wallisellen,252.7584368,686.1265605
4946,Weinfelden,270.1175374,724.2545839
4045,Wettingen,258.056106,665.6920363
4182,Wetzikon (ZH),243.0051953,702.1436857
3427,Wil (SG),258.9077854,719.9661151
230,Winterthur,262.9268551,696.5264898
4082,Wohlen (AG),246.913693,663.5496034
6627,Worb,197.6632711,609.2428057
5938,Yverdon-les-Bains,182.4116418,538.2582509
6300,Zermatt,96.65329064,624.0349304
4289,Zofingen,237.8047388,638.6828424
361,Zollikofen,206.5499281,600.1040544
161,Zollikon,243.8647869,686.255897
2534,Zuchwil,227.680057,609.1967149
1711,Zug,226.0136986,681.9669413
261,Zürich,248.2684258,683.1708235
